0	0.03	
0.03	0.3	that
0.3	0.3	<NP>
0.3	0.47	there
0.47	0.47	</NP>
0.47	0.47	<VP>
0.47	0.6	is
0.6	0.6	<NP>
0.6	0.6	<NP>
0.6	0.67	a
0.67	1	difference
1	1	</NP>
1	1.47	between
1.47	1.5	
1.5	1.5	<NP>
1.5	1.5	<NP>
1.5	2.02	colour
2.02	2.34	and
2.34	3.01	colours
3.01	3.01	</NP>
3.01	3.37	
3.37	3.67	that
3.67	3.67	<NP>
3.67	3.8	an
3.8	3.83	
3.83	4.3	artist
4.3	4.3	</NP>
4.3	4.55	
4.55	4.55	<VP>
4.55	4.79	be
4.79	4.79	<NP>
4.79	5.15	he
5.15	5.15	</NP>
5.15	5.23	
5.23	5.23	<NP>
5.23	5.67	portrait
5.67	6.51	painter
6.51	6.61	or
6.61	6.72	
6.72	7.49	dramatist
7.49	7.49	</NP>
7.49	7.88	
7.88	8.51	always
8.51	8.51	<VP>
8.51	8.99	reveals
8.99	8.99	<NP>
8.99	9.5	himself
9.5	9.5	</NP>
9.5	9.59	in
9.59	9.59	<NP>
9.59	9.78	his
9.78	10.27	manner
10.27	10.27	</NP>
10.27	10.27	</VP>
10.27	10.27	</VP>
10.27	10.27	</NP>
10.27	10.27	</NP>
10.27	10.27	</VP>
10.27	11.02	
11.02	11.02	<VP>
11.02	11.23	are
11.23	11.23	</VP>
11.23	11.23	<NP>
11.23	11.23	<NP>
11.23	11.23	<NP>
11.23	11.82	ideas
11.82	11.82	</NP>
11.82	11.99	that
11.99	11.99	<VP>
11.99	12.14	can
12.14	12.6	hardly
12.6	12.6	<VP>
12.6	12.77	be
12.77	12.77	<VP>
12.77	13.05	said
13.05	13.05	<VP>
13.05	13.2	to
13.2	13.2	<VP>
13.2	13.55	occur
13.55	13.66	to
13.66	13.66	<NP>
13.66	14	him
14	14	</NP>
14	14	</VP>
14	14	</VP>
14	14	</VP>
14	14	</VP>
14	14	</VP>
14	14	</NP>
14	14.72	
14.72	14.95	but
14.95	15.07	
15.07	15.07	<NP>
15.07	15.44	mister
15.44	15.94	quilter
15.94	15.94	</NP>
15.94	16.23	really
16.23	16.23	<VP>
16.23	16.23	<VP>
16.23	16.56	does
16.56	16.56	<NP>
16.56	16.74	his
16.74	17.19	best
17.19	17.19	</NP>
17.19	17.19	</VP>
17.19	17.37	and
17.37	17.87	bravely
17.87	17.87	<VP>
17.87	18.41	faces
18.41	18.41	<NP>
18.41	18.41	<NP>
18.41	18.69	every
18.69	19.3	difficulty
19.3	19.3	</NP>
19.3	19.4	in
19.4	19.4	<NP>
19.4	19.83	modern
19.83	19.87	
19.87	20.21	art
20.21	20.21	</NP>
20.21	20.21	</NP>
20.21	20.67	
20.67	20.87	with
20.87	20.87	<NP>
20.87	20.87	<NP>
20.87	20.95	the
20.95	21.41	exception
21.41	21.41	</NP>
21.41	21.82	of
21.82	21.85	
21.85	21.85	<NP>
21.85	22.19	mister
22.19	22.75	whistler
22.75	22.75	</NP>
22.75	22.75	</NP>
22.75	22.75	</VP>
22.75	22.75	</VP>
22.75	22.75	</NP>
22.75	22.88	
